additions,deletions,file,sha,timestamp,author
191.0,0.0,backend/pom-2016-07-16_04-40-56-752.xml,8c686954,2016-07-22 17:43:38,Michael
1.0,1.0,backend/src/test/java/at/dropover/scheduling/interactor/SetFinalDateTest.java,97c6ef96,2016-07-16 09:51:15,Markus
55.0,0.0,backend/src/test/java/at/dropover/scheduling/interactor/SetFinalDateTest.java,432113a2,2016-07-15 21:17:07,Chris
19.0,3.0,backend/src/main/webapp/app/widgets/gallery/js/galleryController.js,3f7cf92c,2016-07-16 09:07:31,Markus
24.0,11.0,backend/src/main/webapp/app/widgets/gallery/js/galleryController.js,bf2b00ba,2014-10-26 05:52:48,Michael
294.0,0.0,backend/src/main/webapp/app/widgets/gallery/js/galleryController.js,62f4013b,2014-10-11 22:24:46,Michael
1.0,1.0,backend/src/main/webapp/app/widgets/gallery/views/galleryView.html,3f7cf92c,2016-07-16 09:07:31,Markus
5.0,5.0,backend/src/main/webapp/app/widgets/gallery/views/galleryView.html,bf2b00ba,2014-10-26 05:52:48,Michael
75.0,0.0,backend/src/main/webapp/app/widgets/gallery/views/galleryView.html,62f4013b,2014-10-11 22:24:46,Michael
3.0,4.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,ec85fe73,2016-07-16 08:12:29,Chris
68.0,6.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,0732e9cb,2016-07-16 00:27:20,Chris
6.0,6.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,a526cce1,2016-07-15 16:40:07,Chris
1.0,1.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,ad06aa87,2014-12-04 08:16:02,Markus
3.0,5.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,b5dd5695,2014-08-13 15:46:28,Chris
1.0,1.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,e14a312f,2013-11-21 18:11:25,Chris
15.0,0.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,27cec559,2013-11-16 22:36:49,Chris
1.0,1.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,fed394d0,2013-11-16 22:14:00,Chris
0.0,2.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,89af247a,2013-11-16 19:49:51,Chris
1.0,0.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,74ecc16c,2013-11-16 19:48:33,Chris
1.0,0.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,c6071cb2,2013-11-16 19:46:27,Chris
46.0,46.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,d3c75f5c,2013-11-15 20:27:55,Markus
10.0,4.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,095c56a8,2013-11-15 15:22:25,Chris
3.0,2.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,1d6f8fb5,2013-11-15 13:29:11,Chris
39.0,0.0,backend/src/main/java/at/dropover/files/interactor/UploadFile.java,5db2c11f,2013-11-15 10:18:46,Chris
1.0,1.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,ec85fe73,2016-07-16 08:12:29,Chris
10.0,1.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,0732e9cb,2016-07-16 00:27:20,Chris
4.0,4.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,a526cce1,2016-07-15 16:40:07,Chris
1.0,1.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,ad06aa87,2014-12-04 08:16:02,Markus
1.0,2.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,796b1659,2014-02-18 17:22:55,Chris
2.0,2.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,f3d8578d,2013-11-20 16:30:56,Chris
11.0,0.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,27cec559,2013-11-16 22:36:49,Chris
2.0,0.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,fed394d0,2013-11-16 22:14:00,Chris
2.0,1.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,89af247a,2013-11-16 19:49:51,Chris
98.0,98.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,d3c75f5c,2013-11-15 20:27:55,Markus
32.0,16.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,1d6f8fb5,2013-11-15 13:29:11,Chris
82.0,0.0,backend/src/test/java/at/dropover/files/interactor/UploadFileTest.java,5db2c11f,2013-11-15 10:18:46,Chris
,,backend/src/main/webapp/app/img/responsive_large.jpg,161f4ae2,2016-07-16 08:02:28,Markus
1.0,1.0,backend/src/main/webapp/app/startPage/views/startView.html,161f4ae2,2016-07-16 08:02:28,Markus
85.0,33.0,backend/src/main/webapp/app/startPage/views/startView.html,85e316ea,2014-10-11 22:23:14,Michael
101.0,0.0,backend/src/main/webapp/app/startPage/views/startView.html,7f9830ee,2014-01-06 18:24:17,Markus
2.0,2.0,backend/src/main/webapp/app/widgets/gallery/test/unit/galleryControllerUnitTest.js,161f4ae2,2016-07-16 08:02:28,Markus
