month,popularity
2004-01,1
2004-02,1
2004-03,2
2004-04,1
2004-05,1
2004-06,2
2004-07,2
2004-08,2
2004-09,1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,0
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,0
2007-05,0
2007-06,1
2007-07,0
2007-08,0
2007-09,0
2007-10,1
2007-11,1
2007-12,0
2008-01,0
2008-02,1
2008-03,0
2008-04,1
2008-05,0
2008-06,0
2008-07,1
2008-08,0
2008-09,1
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,1
2009-03,0
2009-04,0
2009-05,0
2009-06,1
2009-07,1
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,1
2010-03,1
2010-04,0
2010-05,0
2010-06,1
2010-07,0
2010-08,0
2010-09,1
2010-10,0
2010-11,1
2010-12,1
2011-01,1
2011-02,0
2011-03,1
2011-04,1
2011-05,0
2011-06,1
2011-07,0
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,3
2012-10,3
2012-11,3
2012-12,3
2013-01,3
2013-02,3
2013-03,4
2013-04,6
2013-05,6
2013-06,5
2013-07,5
2013-08,6
2013-09,6
2013-10,6
2013-11,6
2013-12,7
2014-01,8
2014-02,9
2014-03,9
2014-04,9
2014-05,9
2014-06,10
2014-07,11
2014-08,14
2014-09,13
2014-10,13
2014-11,13
2014-12,13
2015-01,16
2015-02,16
2015-03,17
2015-04,18
2015-05,18
2015-06,19
2015-07,20
2015-08,21
2015-09,22
2015-10,24
2015-11,22
2015-12,21
2016-01,26
2016-02,26
2016-03,27
2016-04,28
2016-05,30
2016-06,29
2016-07,29
2016-08,30
2016-09,33
2016-10,33
2016-11,35
2016-12,34
2017-01,41
2017-02,43
2017-03,45
2017-04,44
2017-05,45
2017-06,46
2017-07,47
2017-08,50
2017-09,51
2017-10,54
2017-11,56
2017-12,50
2018-01,60
2018-02,60
2018-03,63
2018-04,63
2018-05,65
2018-06,63
2018-07,66
2018-08,69
2018-09,71
2018-10,74
2018-11,71
2018-12,65
2019-01,80
2019-02,82
2019-03,82
2019-04,83
2019-05,85
2019-06,89
2019-07,92
2019-08,96
2019-09,100
