GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,org.springframework.samples.petclinic,PetclinicInitializer,0,124,0,0,0,24,0,8,0,8
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Vets,14,0,2,0,4,0,3,0,2,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Visit,0,29,0,0,0,12,0,7,0,7
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Owner,50,88,4,6,14,26,7,12,3,11
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Pet,9,56,1,1,3,18,2,10,1,10
JaCoCo Coverage Report,org.springframework.samples.petclinic.model,Vet,42,3,2,0,11,1,6,1,5,1
JaCoCo Coverage Report,org.springframework.samples.petclinic.service,ClinicServiceImpl,10,49,0,0,2,16,2,8,2,8
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,OwnerController,57,85,6,4,13,23,7,7,2,7
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,PetTypeFormatter,13,31,1,3,1,9,1,4,0,3
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,PetController,43,69,6,4,12,18,7,7,2,7
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,PetValidator,15,26,4,4,3,8,4,3,0,3
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,VisitController,13,40,1,1,3,13,2,5,1,5
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,VetController,31,6,0,0,7,3,2,1,2,1
JaCoCo Coverage Report,org.springframework.samples.petclinic.web,CrashController,5,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,org.springframework.samples.petclinic.util,EntityUtils,32,0,6,0,6,0,5,0,2,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.util,CallMonitoringAspect,57,51,3,1,11,13,7,2,5,2
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRowMapper,30,0,0,0,7,0,2,0,2,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRepositoryImpl,134,0,2,0,33,0,6,0,5,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl,76,0,4,0,17,0,4,0,2,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcPetRowMapper,40,0,0,0,9,0,2,0,2,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRepositoryImpl,112,0,4,0,26,0,6,0,4,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcPet,17,0,0,0,7,0,5,0,5,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcPetVisitExtractor,29,0,2,0,8,0,5,0,4,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jdbc,JdbcOwnerRepositoryImpl,183,0,6,0,43,0,10,0,7,0
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jpa,JpaVisitRepositoryImpl,18,12,1,1,4,4,2,2,1,2
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jpa,JpaOwnerRepositoryImpl,5,47,1,1,1,10,1,4,0,4
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jpa,JpaVetRepositoryImpl,6,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,org.springframework.samples.petclinic.repository.jpa,JpaPetRepositoryImpl,5,26,1,1,1,6,1,4,0,4
