PACKAGE,CLASS,LINE_MISSED,LINE_COVERED
org.springframework.samples.petclinic,PetclinicInitializer,0,24
org.springframework.samples.petclinic.model,NamedEntity,1,4
org.springframework.samples.petclinic.model,Specialty,0,1
org.springframework.samples.petclinic.model,PetType,0,1
org.springframework.samples.petclinic.model,Vets,4,0
org.springframework.samples.petclinic.model,Visit,0,12
org.springframework.samples.petclinic.model,BaseEntity,0,5
org.springframework.samples.petclinic.model,Person,0,7
org.springframework.samples.petclinic.model,Owner,14,26
org.springframework.samples.petclinic.model,Pet,3,18
org.springframework.samples.petclinic.model,Vet,11,1
org.springframework.samples.petclinic.service,ClinicServiceImpl,2,16
org.springframework.samples.petclinic.web,OwnerController,13,23
org.springframework.samples.petclinic.web,PetTypeFormatter,1,9
org.springframework.samples.petclinic.web,PetController,12,18
org.springframework.samples.petclinic.web,PetValidator,3,8
org.springframework.samples.petclinic.web,VisitController,3,13
org.springframework.samples.petclinic.web,VetController,7,3
org.springframework.samples.petclinic.web,CrashController,1,1
org.springframework.samples.petclinic.util,EntityUtils,6,0
org.springframework.samples.petclinic.util,CallMonitoringAspect,11,13
org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRowMapper,7,0
org.springframework.samples.petclinic.repository.jdbc,JdbcPetRepositoryImpl,33,0
org.springframework.samples.petclinic.repository.jdbc,JdbcVetRepositoryImpl,17,0
org.springframework.samples.petclinic.repository.jdbc,JdbcPetRowMapper,9,0
org.springframework.samples.petclinic.repository.jdbc,JdbcVisitRepositoryImpl,26,0
org.springframework.samples.petclinic.repository.jdbc,JdbcPet,7,0
org.springframework.samples.petclinic.repository.jdbc,JdbcPetVisitExtractor,8,0
org.springframework.samples.petclinic.repository.jdbc,JdbcOwnerRepositoryImpl,43,0
org.springframework.samples.petclinic.repository.jpa,JpaVisitRepositoryImpl,4,4
org.springframework.samples.petclinic.repository.jpa,JpaOwnerRepositoryImpl,1,10
org.springframework.samples.petclinic.repository.jpa,JpaVetRepositoryImpl,1,1
org.springframework.samples.petclinic.repository.jpa,JpaPetRepositoryImpl,1,6
