procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0         6144      2720868        41924       345548    0    0    29   691  588  541   2   4  93   1   0 2019-01-13 16:09:33
 0  0         6144      2718404        42276       347908    0    0  1421   116 1789 7724   1   6  92   1   0 2019-01-13 16:09:34
 0  0         6144      2718404        42276       347912    0    0     0    44 1853 7724   3   3  94   0   0 2019-01-13 16:09:35
 0  0         6144      2717652        42276       347912    0    0     0    24 1778 7022   1   3  95   0   0 2019-01-13 16:09:36
 0  0         6144      2717652        42276       347912    0    0     0    20 1753 7033   1   4  96   0   0 2019-01-13 16:09:37
 1  0         6144      2717652        42284       347916    0    0     4    44 1575 6647   1   2  96   1   0 2019-01-13 16:09:38
 4  0         6144      2717316        42284       347920    0    0     0    20  615 5824  98   2   0   0   0 2019-01-13 16:09:39
 4  0         6144      2717416        42556       347944    0    0   284    52  544 6080  98   2   0   0   0 2019-01-13 16:09:40
 4  0         6144      2716680        42688       348632    4    0   496    28  576 7229  97   3   0   0   0 2019-01-13 16:09:41
 4  0         6144      2716028        42688       348632    0    0     0    20  403 6736  98   2   0   0   0 2019-01-13 16:09:42
 4  0         6144      2716428        42692       348628    0    0     4    32  210 5471  99   1   0   0   0 2019-01-13 16:09:43
 4  0         6144      2716440        42700       348636    0    0     0    80  399 6062  98   2   0   0   0 2019-01-13 16:09:44
 4  0         6144      2717092        42700       348636    0    0     0   356  498 6389  97   3   0   0   0 2019-01-13 16:09:45
 4  0         6144      2716612        42772       349080    0    0   194    24  456 6292  97   3   0   0   0 2019-01-13 16:09:46
 4  0         6144      2716612        42780       349148    0    0     0    44  667 6574  97   3   0   0   0 2019-01-13 16:09:47
 0  0         6144      2716192        42780       349148    0    0     0    20  481 6192  96   3   1   0   0 2019-01-13 16:09:48
 0  0         6144      2716520        42780       349148    0    0     0    20 1753 6900   2   2  96   0   0 2019-01-13 16:09:49
 0  0         6144      2716520        42840       349340    0    0   192    64 1730 7229   2   4  93   1   0 2019-01-13 16:09:50
 0  0         6144      2715760        42932       349768    0    0   333    28 1663 7059   2   5  93   0   0 2019-01-13 16:09:51
 1  0         6144      2715388        43024       350164    0    0   332    20 1701 6988   1   4  95   0   0 2019-01-13 16:09:52
 0  1         6144      2715452        43040       350164    0    0     0   236 1590 6433   1   2  96   1   0 2019-01-13 16:09:53
 0  4         6144      2714256        43148       350536    0    0   162   168 6661 26346   1  13  32  53   0 2019-01-13 16:09:54
 1  3         6144      2714256        43188       350536    0    0     0   104 7168 27264   1  11  32  55   0 2019-01-13 16:09:55
 1  3         6144      2714256        43216       350536    0    0     0    80 6663 25396   2  11  32  56   0 2019-01-13 16:09:56
 0  4         6144      2714224        43244       350536    0    0     0    80 6263 24685   2  14  32  52   0 2019-01-13 16:09:57
 0  4         6144      2714224        43268       350540    0    0     0    72 7225 26646   1  11  30  58   0 2019-01-13 16:09:58
 0  4         6144      2713456        43448       351564    0    0   504    84 7905 29110   2  11  31  56   0 2019-01-13 16:09:59
 0  2         6144      2712860        43504       351624    0    0    24   132 7693 28963   2  13  32  52   0 2019-01-13 16:10:00
 0  4         6144      2712860        43552       351628    0    0     0   124 7150 27524   3  13  32  52   0 2019-01-13 16:10:01
 2  2         6144      2712860        43588       351628    0    0     0    88 6648 26386   1  13  32  54   0 2019-01-13 16:10:02
 0  0         6144      2712812        43612       351636    0    0     0   100 6835 26500   1  13  33  54   0 2019-01-13 16:10:03
 0  0         6144      2712644        43696       352216    0    0   324    40 1755 7346   1   3  96   1   0 2019-01-13 16:10:04
 0  0         6144      2712644        43696       352216    0    0     0    44 1747 7321   1   3  95   1   0 2019-01-13 16:10:05
 0  0         6144      2712272        43696       352216    0    0     0    24 1597 6538   1   3  96   0   0 2019-01-13 16:10:06
