procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu-------- -----timestamp-----
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st                 UTC
 0  0         4680       262868       216292      1513044    0    0     3    28    2   11   2   3  95   1   0 2019-01-13 10:24:27
 0  0         4680       262736       216292      1513052    0    0     0    80  853 6126   3   6  91   1   0 2019-01-13 10:24:28
 0  0         4680       262736       216292      1513052    0    0     0    20  663 5064   1   3  96   0   0 2019-01-13 10:24:29
 0  0         4680       262472       216292      1513052    0    0     0    20  899 5892   3   4  93   0   0 2019-01-13 10:24:30
 0  0         4680       262472       216292      1513052    0    0     0    20  722 5203   1   3  96   0   0 2019-01-13 10:24:31
 1  0         4680       717848       216292      1057352    0    0     0    44  493 5501   1  28  70   1   0 2019-01-13 10:24:32
 1  0         4680       570936       216292      1203852    0    0     0 57520   44 5108   1  53  38   8   0 2019-01-13 10:24:33
 5  0         4680       424364       216292      1350740    0    0     0 172084   62 6304   2  52  41   4   0 2019-01-13 10:24:34
 2  0         4680       271272       216292      1503440    0    0     0 118808   18 6400   1  54  39   7   0 2019-01-13 10:24:35
 0  0         4680       262632       216292      1513056    0    0     0 163860  874 6533   4  11  74  12   0 2019-01-13 10:24:36
 0  0         4680       262508       216292      1513064    0    0     0    92  808 5899   1   4  94   1   0 2019-01-13 10:24:37
 0  0         4680       262632       216292      1513064    0    0     0    36  930 6410   1   5  93   1   0 2019-01-13 10:24:38
 0  0         4680       262808       216292      1513064    0    0     0    20  807 5816   3   5  93   0   0 2019-01-13 10:24:39
 1  0         4680       261492       216292      1513952    0    0     0    20 1095 7058   3   4  92   1   0 2019-01-13 10:24:40
 0  0         4680       255484       216292      1519988    0    0     0    20 1228 7032   1   5  94   0   0 2019-01-13 10:24:41
 0  0         4680       249460       216292      1525932    0    0     0    68 1412 7830   5   7  87   1   0 2019-01-13 10:24:42
 0  0         4680       243384       216292      1532016    0    0     0    60 1484 7210   1   6  93   1   0 2019-01-13 10:24:43
 0  0         4680       237804       216292      1537660    0    0     0    44 1428 7972   3   8  87   1   0 2019-01-13 10:24:44
 0  0         4680       232216       216292      1542576    0    0     0    20 1359 7097   3   7  89   1   0 2019-01-13 10:24:45
 0  0         4680       227820       216292      1547216    0    0     0    20 1363 7734   3   8  88   1   0 2019-01-13 10:24:46
 0  0         4680       222420       216296      1552636    0    0     0    48 1364 7148   2   5  92   1   0 2019-01-13 10:24:47
 0  0         4680       216504       216296      1558760    0    0     0    36 1621 8574   3  12  82   2   0 2019-01-13 10:24:48
 0  0         4680       210480       216296      1564760    0    0     0    20 1287 6994   2   7  90   0   0 2019-01-13 10:24:49
 0  0         4680       204444       216296      1570780    0    0     0    20 1403 7464   3   8  88   1   0 2019-01-13 10:24:50
 0  0         4680       198832       216296      1576184    0    0     0    20 1261 6968   4   9  86   1   0 2019-01-13 10:24:51
 0  0         4680       195084       216296      1580228    0    0     0    48 1204 6961   4   5  90   1   0 2019-01-13 10:24:52
 0  0         4680       189532       216296      1585652    0    0     0    60 1287 6886   3   8  88   1   0 2019-01-13 10:24:53
 0  0         4680       183396       216296      1591824    0    0     0    44 1561 7636   3   9  88   1   0 2019-01-13 10:24:54
 0  0         4680       177596       216296      1597732    0    0     0    20 1572 7841   3   6  91   1   0 2019-01-13 10:24:55
 1  0         4680       171396       216300      1603856    0    0     0    60 1466 7898   2   9  89   1   0 2019-01-13 10:24:56
 3  0         4680       165768       216304      1609108    0    0     0    40 1475 7167   2   6  91   1   0 2019-01-13 10:24:57
 0  0         4680       161428       216304      1613472    0    0     0    36 1436 7963   3  11  85   1   0 2019-01-13 10:24:58
 0  0         4680       156592       216304      1618324    0    0     0    20 1257 7121   2   4  94   0   0 2019-01-13 10:24:59
 0  0         4680       156756       216304      1618916    0    0     0    20  962 6371   2   5  93   0   0 2019-01-13 10:25:00
 0  0         4680       156760       216304      1618916    0    0     0    20  795 5662   1   2  98   0   0 2019-01-13 10:25:01
 0  0         4680       156760       216304      1618916    0    0     0    84  931 6288   2   3  94   2   0 2019-01-13 10:25:02
 0  0         4680       156760       216304      1618920    0    0     0    20  761 5574   1   3  96   0   0 2019-01-13 10:25:03
 0  0         4680       156760       216304      1618920    0    0     0    44  764 5634   2   3  95   1   0 2019-01-13 10:25:04
 0  0         4680       156760       216304      1618920    0    0     0    20  645 5042   1   4  95   0   0 2019-01-13 10:25:05
 0  0         4680       156636       216308      1618916    0    0     0    92  887 6365   2   5  92   1   0 2019-01-13 10:25:06
 0  0         4680       156728       216308      1618928    0    0     0    20  820 5758   3   3  94   0   0 2019-01-13 10:25:07
 0  0         4680       156728       216308      1618928    0    0     0    36  978 6506   3   5  91   1   0 2019-01-13 10:25:08
 0  0         4680       156852       216308      1618928    0    0     0    20  841 6013   3   3  95   0   0 2019-01-13 10:25:09
 1  0         4680       156852       216308      1618928    0    0     0    20  779 5653   2   3  95   0   0 2019-01-13 10:25:10
 3  0         4680       156756       216308      1618928    0    0     0 103044  773 5618   1   7  79  12   0 2019-01-13 10:25:11
 0  1         4680       156524       216312      1618932    0    0     0   108  914 6458   3   7  90   1   0 2019-01-13 10:25:12
 0  0         4680       156632       216312      1618936    0    0     0    20  800 5603   2   3  95   1   0 2019-01-13 10:25:13
 0  0         4680       156508       216312      1618936    0    0     0    44  815 5824   3   4  93   1   0 2019-01-13 10:25:14
 0  0         4680       156800       216312      1618936    0    0     0    20  792 5503   1   3  95   1   0 2019-01-13 10:25:15
 0  0         4680       156800       216316      1618932    0    0     0    76  926 6349   5   3  92   1   0 2019-01-13 10:25:16
 0  0         4680       156800       216316      1618944    0    0     0    20  823 5688   2   3  95   1   0 2019-01-13 10:25:17
 0  0         4680       156556       216316      1618944    0    0     0    36 1208 7063   3   8  90   0   0 2019-01-13 10:25:18
 0  0         4680       156676       216316      1618944    0    0     0    20  808 5613   2   3  95   1   0 2019-01-13 10:25:19
 0  0         4680       156676       216316      1618944    0    0     0    20  804 5826   2   3  95   0   0 2019-01-13 10:25:20
 0  0         4680       156800       216316      1618944    0    0     0    20  831 5710   1   2  96   1   0 2019-01-13 10:25:21
 0  0         4680       152764       216316      1622488    0    0     0    88 1214 6861   3   4  92   2   0 2019-01-13 10:25:22
 0  0         4680       146996       216316      1628276    0    0     0    36 1200 6553   2   4  94   1   0 2019-01-13 10:25:23
 3  0         4680       140716       216316      1634308    0    0     0    44 1467 8055   3   9  87   2   0 2019-01-13 10:25:24
 0  0         4680       134704       216316      1640400    0    0     0    20 1379 6988   2   6  92   1   0 2019-01-13 10:25:25
 0  0         4680       128844       216320      1646432    0    0     0    48 1419 7966   3   5  91   1   0 2019-01-13 10:25:26
