author,filename,additions,deletions
Antoine Rey,src/test/java/petclinic/web/CrashControllerTests.java,4.0,5.0
Antoine Rey,src/test/java/petclinic/web/OwnerControllerTests.java,25.0,7.0
Antoine Rey,src/test/java/petclinic/web/PetControllerTests.java,21.0,9.0
Antoine Rey,src/test/java/petclinic/web/VetControllerTests.java,23.0,3.0
Antoine Rey,src/test/java/petclinic/web/VisitControllerTests.java,10.0,6.0
Antoine Rey,src/main/java/petclinic/PetclinicInitializer.java,111.0,0.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,4.0,14.0
Antoine Rey,src/main/java/petclinic/web/VetController.java,2.0,2.0
Antoine Rey,src/test/java/petclinic/web/VetControllerTests.java,14.0,14.0
Attilio,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,22.0,5.0
Attilio,src/main/java/petclinic/repository/jpa/JpaVisitRepositoryImpl.java,1.0,1.0
Attilio,src/main/java/petclinic/service/ClinicService.java,2.0,0.0
Attilio,src/main/java/petclinic/service/ClinicServiceImpl.java,5.0,0.0
Attilio,src/test/java/petclinic/service/AbstractClinicServiceTests.java,10.0,0.0
Faisal Hameed,src/main/java/petclinic/model/BaseEntity.java,1.0,1.0
Faisal Hameed,src/main/java/petclinic/web/OwnerController.java,5.0,4.0
Faisal Hameed,src/main/java/petclinic/web/PetController.java,7.0,6.0
Faisal Hameed,src/main/java/petclinic/web/PetValidator.java,5.0,3.0
Faisal Hameed,src/test/java/petclinic/service/AbstractClinicServiceTests.java,1.0,1.0
Colin But,src/test/java/petclinic/web/CrashControllerTests.java,53.0,0.0
Colin But,src/test/java/petclinic/web/OwnerControllerTests.java,167.0,0.0
Colin But,src/test/java/petclinic/web/PetControllerTests.java,113.0,0.0
Colin But,src/test/java/petclinic/web/PetTypeFormatterTests.java,76.0,0.0
Colin But,src/test/java/petclinic/web/VetControllerTests.java,22.0,6.0
Colin But,src/test/java/petclinic/web/VisitControllerTests.java,79.0,0.0
Tomas Repel,src/main/java/petclinic/model/Visit.java,6.0,6.0
Tomas Repel,src/main/java/petclinic/repository/jdbc/JdbcVisitRowMapper.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/model/Pet.java,5.0,4.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRowMapper.java,2.0,1.0
Antoine Rey,src/test/java/petclinic/service/AbstractClinicServiceTests.java,2.0,1.0
Antoine Rey,src/main/java/petclinic/web/OwnerController.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/web/PetController.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/web/OwnerController.java,2.0,1.0
Antoine Rey,src/main/java/petclinic/web/OwnerController.java,2.0,7.0
Antoine Rey,src/main/java/petclinic/web/PetController.java,32.0,25.0
Antoine Rey,src/main/java/petclinic/web/PetValidator.java,0.0,2.0
Tomas Repel,src/main/java/petclinic/model/Vets.java,0.0,1.0
Tomas Repel,src/main/java/petclinic/repository/OwnerRepository.java,0.0,15.0
Antoine Rey,src/main/java/petclinic/model/BaseEntity.java,3.0,4.0
Antoine Rey,src/main/java/petclinic/model/NamedEntity.java,3.0,4.0
Antoine Rey,src/main/java/petclinic/model/Owner.java,12.0,12.0
Antoine Rey,src/main/java/petclinic/model/Pet.java,10.0,11.0
Antoine Rey,src/main/java/petclinic/model/PetType.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/model/Vet.java,5.0,6.0
Antoine Rey,src/main/java/petclinic/model/package-info.java,0.0,3.0
Antoine Rey,src/main/java/petclinic/repository/OwnerRepository.java,2.0,3.0
Antoine Rey,src/main/java/petclinic/repository/PetRepository.java,1.0,2.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcOwnerRepositoryImpl.java,16.0,16.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPet.java,5.0,6.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetRepositoryImpl.java,17.0,17.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcPetVisitExtractor.java,2.0,2.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVetRepositoryImpl.java,12.0,12.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/JdbcVisitRepositoryImpl.java,9.0,9.0
Antoine Rey,src/main/java/petclinic/repository/jdbc/package-info.java,0.0,3.0
Antoine Rey,src/main/java/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java,6.0,7.0
Antoine Rey,src/main/java/petclinic/repository/jpa/JpaPetRepositoryImpl.java,5.0,6.0
Antoine Rey,src/main/java/petclinic/repository/jpa/JpaVisitRepositoryImpl.java,5.0,6.0
Antoine Rey,src/main/java/petclinic/repository/jpa/package-info.java,0.0,3.0
Antoine Rey,src/main/java/petclinic/repository/springdatajpa/SpringDataOwnerRepository.java,8.0,8.0
Antoine Rey,src/main/java/petclinic/util/CallMonitoringAspect.java,10.0,11.0
Antoine Rey,src/main/java/petclinic/util/EntityUtils.java,2.0,3.0
Antoine Rey,src/main/java/petclinic/web/CrashController.java,1.0,1.0
Antoine Rey,src/main/java/petclinic/web/OwnerController.java,6.0,8.0
Antoine Rey,src/main/java/petclinic/web/PetValidator.java,3.0,3.0
Antoine Rey,src/main/java/petclinic/web/VetController.java,7.0,5.0
Antoine Rey,src/main/java/petclinic/web/VisitController.java,10.0,9.0
Antoine Rey,src/main/java/petclinic/web/package-info.java,0.0,3.0
Antoine Rey,src/test/java/petclinic/model/ValidatorTests.java,13.0,15.0
Antoine Rey,src/test/java/petclinic/service/AbstractClinicServiceTests.java,86.0,86.0
